word,used
which,0
there,0
their,0
about,0
would,0
these,0
other,0
words,0
could,0
write,0
first,0
water,0
after,0
where,0
right,0
think,0
three,0
years,0
place,0
sound,0
great,0
again,0
still,0
every,0
small,0
found,0
those,0
never,0
under,0
might,0
while,0
house,0
world,0
below,0
asked,0
going,0
large,0
until,0
along,0
shall,0
being,0
often,0
earth,0
began,0
since,0
study,0
night,0
light,0
above,0
paper,0
parts,0
young,0
story,0
point,0
times,0
heard,0
whole,0
white,0
given,0
means,0
music,0
miles,0
thing,0
today,0
later,0
using,0
money,0
lines,0
order,0
group,0
among,0
learn,0
known,0
space,0
table,0
early,0
trees,0
short,0
hands,0
state,0
black,0
shown,0
stood,0
front,0
voice,0
kinds,0
makes,0
comes,0
close,0
power,0
lived,0
vowel,0
taken,0
built,0
heart,0
ready,0
quite,0
class,0
bring,0
round,0
horse,0
shows,0
piece,0
green,0
stand,0
birds,0
start,0
river,0
tried,0
least,0
field,0
whose,0
girls,0
leave,0
added,0
color,0
third,0
hours,0
moved,0
plant,0
doing,0
names,0
forms,0
heavy,0
ideas,0
cried,0
check,0
floor,0
begin,0
woman,0
alone,0
plane,0
spell,0
watch,0
carry,0
wrote,0
clear,0
named,0
books,0
child,0
glass,0
human,0
takes,0
party,0
build,0
seems,0
blood,0
sides,0
seven,0
mouth,0
solve,0
north,0
value,0
death,0
maybe,0
happy,0
tells,0
gives,0
looks,0
shape,0
lives,0
steps,0
areas,0
sense,0
speak,0
force,0
ocean,0
speed,0
women,0
metal,0
south,0
grass,0
scale,0
cells,0
lower,0
sleep,0
wrong,0
pages,0
ships,0
needs,0
rocks,0
eight,0
major,0
level,0
total,0
ahead,0
reach,0
stars,0
store,0
sight,0
terms,0
catch,0
works,0
board,0
cover,0
songs,0
equal,0
stone,0
waves,0
guess,0
dance,0
spoke,0
break,0
cause,0
radio,0
weeks,0
lands,0
basic,0
liked,0
trade,0
fresh,0
final,0
fight,0
meant,0
drive,0
spent,0
local,0
waxes,0
knows,0
train,0
bread,0
homes,0
teeth,0
coast,0
thick,0
brown,0
clean,0
quiet,0
sugar,0
facts,0
steel,0
forth,0
rules,0
notes,0
units,0
peace,0
month,0
verbs,0
seeds,0
helps,0
sharp,0
visit,0
woods,0
chief,0
walls,0
cross,0
wings,0
grown,0
cases,0
foods,0
crops,0
fruit,0
stick,0
wants,0
stage,0
sheep,0
nouns,0
plain,0
drink,0
bones,0
